time,cnt,ir,red,green,spo2,hr,temp
15:31:32:490,2024,2736,2175,360,0,0,33.9
15:31:33:564,3077,756,1021,249,81,92,35.3
15:31:33:609,3100,740,936,261,0,0,0
15:31:33:657,3122,733,945,244,0,0,0
15:31:33:706,3144,739,948,259,0,0,0
15:31:33:756,3166,732,955,249,0,0,0
15:31:33:824,3188,747,962,252,0,0,0
15:31:33:851,3210,769,928,236,0,0,0
15:31:33:901,3232,740,951,240,0,0,0
15:31:33:949,3268,741,957,267,0,0,0
15:31:33:997,3317,770,995,257,0,0,0
15:31:34:046,3365,733,959,259,0,0,0
15:31:34:095,3413,758,960,248,0,0,0
15:31:34:144,3462,763,961,236,0,0,0
15:31:34:193,3510,728,923,199,0,0,0
15:31:34:242,3559,728,905,202,0,0,0
15:31:34:292,3607,710,957,209,0,0,0
15:31:34:340,3655,774,980,262,0,0,0
15:31:34:389,3704,607,817,104,0,0,0
15:31:34:437,3752,843,1018,328,0,0,0
15:31:34:488,3801,847,1066,357,0,0,0
15:31:34:535,3849,807,991,323,0,0,0
15:31:34:584,3897,843,1040,340,0,0,0
15:31:34:632,3946,825,1022,291,0,0,0
15:31:34:680,3994,738,917,250,0,0,0
15:31:34:729,4043,679,876,211,0,0,0
15:31:34:778,4091,743,974,283,0,0,0
15:31:34:827,4139,726,949,229,0,0,0
15:31:34:876,4188,688,923,245,0,0,0
15:31:34:924,4236,722,952,255,0,0,0
15:31:34:974,4285,698,940,226,0,0,0
15:31:35:022,4333,676,913,186,0,0,0
15:31:35:071,4381,685,875,188,0,0,0
15:31:35:119,4435,705,970,243,80,86,0
15:31:35:169,4478,709,978,259,0,0,0
15:31:35:218,4527,760,1005,293,0,0,0
15:31:35:266,4575,844,1064,372,0,0,0
15:31:35:316,4623,791,1056,342,0,0,0
15:31:35:364,4672,744,1019,335,0,0,0
15:31:35:413,4721,775,1047,328,0,0,0
15:31:35:463,4769,777,1012,323,0,0,0
15:31:35:511,4817,643,918,196,0,0,0
15:31:35:609,4865,576,839,119,0,0,0
15:31:35:657,4914,667,893,192,0,0,0
15:31:35:706,4962,771,1010,310,0,0,0
15:31:35:754,5011,670,954,248,0,0,0
15:31:35:803,5059,560,819,124,0,0,0
15:31:35:868,5156,762,1018,289,0,0,0
15:31:35:878,5205,799,1023,360,0,0,0
15:31:35:890,5253,1415,1644,969,0,0,0
15:31:35:923,5302,575,858,78,0,0,0
15:31:35:923,5350,465,710,45,0,0,0
15:31:35:923,5414,649,910,197,0,0,0
15:31:35:934,5436,757,1011,330,0,0,0
15:31:35:946,5458,874,1092,441,0,0,0
15:31:35:969,5481,954,1270,607,0,0,0
15:31:35:992,5503,783,1064,367,0,0,0
15:31:36:015,5525,882,1143,456,0,0,0
15:31:36:036,5547,882,1221,452,0,0,0
15:31:36:059,5570,0,229,0,0,0,0
15:31:36:087,5592,0,0,0,0,0,0
15:31:36:105,5614,493,415,0,0,0,0
15:31:36:127,5637,1819,1308,304,0,0,0
15:31:36:149,5659,1902,1280,194,0,0,0
15:31:36:171,5682,2705,1691,409,0,0,0
15:31:36:194,5704,2137,1606,515,0,0,0
15:31:36:217,5727,1817,1587,638,0,0,0
15:31:36:239,5749,2528,2626,1930,0,0,0
15:31:36:264,5771,894,1054,331,0,0,0
15:31:36:284,5793,1133,1065,258,0,0,0
15:31:36:312,5815,6962,5601,634,0,0,0
15:31:36:330,5838,12288,10809,1008,0,0,0
15:31:36:351,5860,20909,20214,1766,0,0,0
15:31:36:385,5882,16345,15758,1533,0,0,0
15:31:36:396,5905,12222,11310,1157,0,0,0
15:31:36:419,5927,10195,9135,912,0,0,0
15:31:36:442,5949,6364,5439,650,0,0,0
15:31:36:465,5972,4589,3800,508,0,0,0
15:31:36:487,5994,3504,2887,404,0,0,0
15:31:36:509,6016,2532,1996,260,0,0,0
15:31:36:546,6039,2315,1809,250,0,0,0
15:31:36:554,6061,2286,1823,283,0,0,0
15:31:36:577,6083,2278,1829,250,0,0,0
15:31:36:599,6106,2394,1880,197,0,0,0
15:31:36:622,6128,2614,2032,272,0,0,0
15:31:36:644,6150,3093,2354,270,0,0,0
15:31:36:678,6173,3720,2886,296,0,0,0
15:31:36:688,6195,5784,4865,534,0,0,0
15:31:36:712,6217,6677,5963,607,0,0,0
15:31:36:734,6240,6955,6450,607,0,0,0
15:31:36:769,6262,6889,6669,545,0,0,0
15:31:36:781,6284,6831,6917,469,0,0,0
15:31:36:801,6307,5732,6197,241,0,0,0
15:31:36:824,6329,3326,3832,0,0,0,0
15:31:36:847,6351,3184,3413,0,0,0,0
15:31:36:869,6374,3544,3836,357,0,0,0
15:31:36:892,6396,5362,5609,215,0,0,0
15:31:36:914,6418,16809,17159,810,0,0,0
15:31:36:936,6441,59405,59237,5001,0,0,0
15:31:36:959,6463,109075,75659,7382,0,0,0
15:31:36:995,6486,113743,91963,5154,0,0,0
15:31:37:004,6508,126874,108307,6430,0,0,0
15:31:37:027,6530,129968,124589,7054,0,0,0
15:31:37:050,6553,134932,132721,8034,0,0,0
15:31:37:072,6575,136417,133521,8557,0,0,0
15:31:37:094,6597,137224,133991,8991,0,0,0
15:31:37:116,6620,137771,134231,9346,0,0,0
15:31:37:139,6642,138031,134282,9804,0,0,0
15:31:37:162,6664,138185,134210,10183,0,0,0
15:31:37:184,6687,138288,134253,10387,0,0,0
15:31:37:217,6709,137023,133193,10397,0,0,0
15:31:37:230,6732,136464,132451,10587,0,0,0
15:31:37:252,6754,137912,133360,10920,0,0,0
15:31:37:274,6776,141026,135459,11402,0,0,0
15:31:37:297,6798,144700,138639,11504,0,0,0
15:31:37:319,6821,145856,139373,11798,0,0,0
15:31:37:342,6843,146289,139550,11999,0,0,0
15:31:37:364,6865,146523,139619,12108,0,0,0
15:31:37:387,6888,146477,139279,12145,0,0,0
15:31:37:409,6910,145993,138569,12322,0,0,0
15:31:37:446,6933,146012,138592,12350,0,0,0
15:31:37:454,6955,146030,138578,12355,0,0,0
15:31:37:477,6977,145959,138621,12328,0,0,0
15:31:37:499,6999,145821,138505,12303,0,0,0
15:31:37:522,7022,145470,138211,12335,0,0,0
15:31:37:544,7044,145192,137946,12381,0,0,0
15:31:37:566,7066,145052,137793,12427,0,0,0
15:31:37:590,7089,145000,137728,12443,0,0,0
15:31:37:612,7111,144934,137605,12500,0,0,0
15:31:37:634,7133,144884,137527,12536,0,0,0
15:31:37:669,7156,144840,137448,12563,0,0,0
15:31:37:679,7178,144808,137374,12578,0,0,0
15:31:37:702,7201,144862,137362,12663,0,0,0
15:31:37:726,7223,144885,137371,12715,0,0,0
15:31:37:747,7245,144943,137343,12762,0,0,0
15:31:37:769,7268,145083,137405,12921,0,0,0
15:31:37:792,7290,145232,137542,12892,0,0,0
15:31:37:814,7312,145239,137566,12870,0,0,0
15:31:37:837,7334,145305,137668,12869,0,0,0
15:31:37:859,7357,145350,137760,12892,0,0,0
15:31:37:894,7379,145465,137875,12911,0,0,0
15:31:37:904,7406,145602,138143,12974,81,81,0
15:31:37:927,7428,145833,138490,12997,0,0,0
15:31:37:950,7451,146018,138730,13007,0,0,0
15:31:37:972,7473,146214,138751,13023,0,0,0
15:31:37:994,7495,146341,138848,13079,0,0,0
15:31:38:016,7517,146538,139026,13104,0,0,0
15:31:38:039,7539,146689,139240,13150,0,0,0
15:31:38:062,7562,146818,139383,13153,0,0,0
15:31:38:084,7584,146900,139369,13165,0,0,0
15:31:38:117,7606,146998,139334,13171,0,0,0
15:31:38:150,7628,147166,139449,13259,0,0,0
15:31:38:151,7651,147169,139434,13294,0,0,0
15:31:38:174,7673,147167,139435,13321,0,0,0
15:31:38:199,7695,147186,139359,13360,0,0,0
15:31:38:220,7718,147202,139284,13390,0,0,0
15:31:38:243,7740,147278,139357,13398,0,0,0
15:31:38:264,7763,147360,139418,13433,0,0,0
15:31:38:286,7785,147431,139491,13472,0,0,0
15:31:38:309,7808,147459,139507,13502,0,0,0
15:31:38:341,7830,148039,139570,13539,0,0,0
15:31:38:354,7852,148096,139631,13608,0,0,0
15:31:38:376,7875,148130,139645,13617,0,0,0
15:31:38:399,7897,148186,139713,13675,0,0,0
15:31:38:422,7920,148197,139764,13718,0,0,0
15:31:38:443,7942,148258,139784,13744,0,0,0
15:31:38:466,7965,148312,139816,13787,0,0,0
15:31:38:489,7987,148348,139882,13833,0,0,0
15:31:38:511,8010,148674,140501,14015,0,0,0
15:31:38:534,8032,149672,141601,14221,0,0,0
15:31:38:567,8054,151971,144361,14649,0,0,0
15:31:38:579,8077,153959,145916,15077,0,0,0
15:31:38:601,8099,154546,146496,15469,0,0,0
15:31:38:625,8121,154984,146452,15656,0,0,0
15:31:38:647,8143,155399,146786,15677,0,0,0
15:31:38:680,8166,155654,147026,15709,0,0,0
15:31:38:692,8188,155792,147198,15710,0,0,0
15:31:38:714,8210,155892,147222,15698,0,0,0
15:31:38:736,8233,155989,147233,15721,0,0,0
15:31:38:759,8255,156012,147186,15730,0,0,0
15:31:38:792,8278,155998,147149,15765,0,0,0
15:31:38:804,8300,155926,147093,15794,0,0,0
15:31:38:827,8322,155739,146901,15804,0,0,0
15:31:38:849,8345,155587,146731,15777,0,0,0
15:31:38:872,8367,155467,146588,15801,0,0,0
15:31:38:895,8389,155429,146486,15803,0,0,0
15:31:38:916,8412,155413,146461,15829,0,0,0
15:31:38:939,8434,155406,146465,15834,0,0,0
15:31:38:962,8456,155430,146466,15832,0,0,0
15:31:38:984,8478,155448,146462,15831,0,0,0
15:31:39:016,8501,155574,146553,15845,0,0,0
15:31:39:030,8523,155676,146632,15857,0,0,0
15:31:39:051,8545,155693,146650,15866,0,0,0
15:31:39:074,8567,155711,146669,15848,0,0,0
15:31:39:097,8590,155682,146635,15841,0,0,0
15:31:39:119,8612,155640,146586,15840,0,0,0
15:31:39:142,8634,155596,146541,15847,0,0,0
